Vancouver,temp
sky is clear,290.11
sky is clear,287.51
sky is clear,286.33
sky is clear,285.48
sky is clear,284.52
sky is clear,284.09
sky is clear,283.85
sky is clear,283.71
sky is clear,283.2
sky is clear,282.69
sky is clear,282.18
sky is clear,282.01
sky is clear,281.53
sky is clear,281.27
overcast clouds,281.74
sky is clear,282.13
sky is clear,283.77
sky is clear,283.97
sky is clear,285.22
sky is clear,286.55
sky is clear,287.99
sky is clear,288.045
sky is clear,288.1
sky is clear,288.1
sky is clear,288.1
sky is clear,288.1
sky is clear,288.1
sky is clear,288.1
sky is clear,284.94
sky is clear,281.78
sky is clear,281.365
sky is clear,280.95
sky is clear,280.93
sky is clear,280.52
sky is clear,280.23
sky is clear,280.09
sky is clear,279.96
sky is clear,280.3
mist,280.55
sky is clear,282.1625
sky is clear,283.775
sky is clear,285.3875
sky is clear,287
sky is clear,287
sky is clear,284.66
sky is clear,284.99
sky is clear,284.8
sky is clear,284.28
sky is clear,283.87
sky is clear,283.87
sky is clear,283.68
sky is clear,283.48
sky is clear,283.52
sky is clear,283.56
mist,283.42
mist,283.32
mist,283.24
mist,283.09
mist,282.9
mist,282.9
mist,282.37
mist,282.31
mist,282.64
mist,282.65
sky is clear,282.62
sky is clear,282.93
sky is clear,283.64
sky is clear,284.35
sky is clear,284.91
sky is clear,285.13
sky is clear,285.17
overcast clouds,285.416
overcast clouds,285.662
overcast clouds,285.908
overcast clouds,286.154
sky is clear,286.4
sky is clear,283.28
sky is clear,283.09
sky is clear,283.13
sky is clear,283.14
sky is clear,283.03
sky is clear,282.97
light intensity shower rain,282.97
light intensity shower rain,282.87
mist,282.62
light rain,282.57
mist,282.73
mist,282.79
light intensity shower rain,282.95
light intensity shower rain,283.2
mist,283.8
sky is clear,283.91
light intensity shower rain,284.29
light intensity shower rain,284.48
light intensity shower rain,284.7
light intensity shower rain,284.47
light intensity shower rain,284.51
mist,284.51
mist,284.47
mist,284.57
sky is clear,284.51
mist,284.57
mist,284.57
mist,284.62
mist,284.63
mist,284.68
sky is clear,284.78
sky is clear,284.88
sky is clear,284.9
sky is clear,284.93
light rain,284.82
light intensity shower rain,284.95
light rain,284.97
mist,285.39
mist,285.54
mist,286.06
sky is clear,286.63
sky is clear,286.86
sky is clear,286.93
sky is clear,286.51
sky is clear,286.34
sky is clear,286.42
sky is clear,286.55
light intensity shower rain,286.2
moderate rain,286.44
mist,286.29
sky is clear,286.29
overcast clouds,286.19
sky is clear,286.25
sky is clear,286.3
sky is clear,286.49
light intensity shower rain,286.74
mist,286.54
sky is clear,286.49
sky is clear,286.48
sky is clear,286.24
sky is clear,286.58
sky is clear,286.21
sky is clear,286.58
light rain,286.62
overcast clouds,286.64
light intensity shower rain,287.03
light intensity shower rain,287.11
light intensity shower rain,286.67
overcast clouds,286.49
sky is clear,286.44
overcast clouds,286.71
sky is clear,286.43
sky is clear,286.04
sky is clear,285.97
sky is clear,285.43
fog,284.46
fog,283.85
fog,284.17
fog,283.89
fog,283.65
light intensity shower rain,283.55
mist,283.49
mist,283.76
sky is clear,283.94
mist,284.37
sky is clear,284.59
broken clouds,285.23
sky is clear,285.6
light intensity shower rain,285.5
light rain,285.2
sky is clear,285.17
moderate rain,284.79
sky is clear,284.65
sky is clear,284.55
light rain,284.81
overcast clouds,285.31
sky is clear,285.58
sky is clear,285.97
sky is clear,285.68
sky is clear,285.14
sky is clear,285.57
sky is clear,285.21
sky is clear,285.2
sky is clear,284.34
mist,283.61
sky is clear,283.04
sky is clear,282.77
sky is clear,283.06
sky is clear,284.62
sky is clear,285.6
sky is clear,285.65
sky is clear,286.57
sky is clear,287.15
sky is clear,286.45
sky is clear,286.36
broken clouds,285
sky is clear,284.19
sky is clear,282.75
sky is clear,282.59
sky is clear,282.22
sky is clear,282.23
sky is clear,282.32
sky is clear,281.99
sky is clear,281.6
sky is clear,281.43
sky is clear,280.89
sky is clear,280.57
sky is clear,280.11
sky is clear,280.22
sky is clear,280.63
sky is clear,280.48
sky is clear,281.24
sky is clear,281.61
sky is clear,282.82
sky is clear,283.73
sky is clear,283.69
sky is clear,283.76
sky is clear,284.22
sky is clear,284.67
light rain,284.14
sky is clear,283.65
sky is clear,283.27
sky is clear,283.28
sky is clear,282.97
sky is clear,282.98
sky is clear,282.85
sky is clear,282.51
sky is clear,282.51
sky is clear,282.51
sky is clear,282.39
sky is clear,282.51
sky is clear,282.38
sky is clear,282.44
light intensity drizzle,282.33
sky is clear,282.43
sky is clear,283.33
sky is clear,283.17
light intensity shower rain,283.29
sky is clear,283.77
sky is clear,283.63
sky is clear,283.27
sky is clear,283.15
sky is clear,282.81
mist,282.81
mist,282.92
sky is clear,282.84
sky is clear,283.18
sky is clear,282.92
mist,283.34
sky is clear,283.42
mist,283.39
mist,284.02
mist,284.17
sky is clear,284.47
sky is clear,284.77
sky is clear,285.02
sky is clear,284.96
sky is clear,285.21
sky is clear,284.48
light intensity shower rain,284.19
sky is clear,284.87
sky is clear,285.2
sky is clear,284.83
sky is clear,284.74
scattered clouds,284.34
proximity shower rain,284.88
sky is clear,284.69
sky is clear,284.78
sky is clear,283.13
sky is clear,281.97
sky is clear,282.22
sky is clear,282.36
sky is clear,281.76
broken clouds,281.5125
broken clouds,281.265
broken clouds,281.0175
broken clouds,280.77
broken clouds,280.5225
overcast clouds,280.275
overcast clouds,280.0275
sky is clear,279.78
overcast clouds,280.0622222
overcast clouds,280.3444444
broken clouds,280.6266667
broken clouds,280.9088889
broken clouds,281.1911111
broken clouds,281.4733333
broken clouds,281.7555556
broken clouds,282.0377778
sky is clear,282.32
sky is clear,281.9
broken clouds,281.2125
broken clouds,280.525
broken clouds,279.8375
light rain,279.15
sky is clear,278.66
sky is clear,278.64
sky is clear,278.58
sky is clear,278.42
light rain,278.11
broken clouds,278.06
sky is clear,278.16
sky is clear,278.21
broken clouds,278.5825
broken clouds,278.955
broken clouds,279.3275
sky is clear,279.7
sky is clear,277.94
sky is clear,278.14
light intensity shower rain,279.45
sky is clear,279.95
broken clouds,280.11
sky is clear,280
sky is clear,280.91
sky is clear,280.68
broken clouds,280.47
sky is clear,280.23
sky is clear,279.69
sky is clear,279.37
sky is clear,279.01
sky is clear,278.91
sky is clear,278.59
sky is clear,278.38
sky is clear,277.66
sky is clear,277.56
sky is clear,277.52
sky is clear,277.08
sky is clear,276.44
sky is clear,276.07
sky is clear,276.38
sky is clear,276.49
sky is clear,277.46
sky is clear,279.29
sky is clear,280.33
sky is clear,281.77
sky is clear,281.96
sky is clear,282.4
sky is clear,282.57
sky is clear,282.25
light rain,281.75
sky is clear,281.08
light rain,279.87
sky is clear,279.84
sky is clear,279.65
light rain,279.5
sky is clear,279.39
sky is clear,279.33
light rain,278.87
sky is clear,278.91
sky is clear,278.8
sky is clear,278.74
sky is clear,278.59
sky is clear,278.72
sky is clear,278.45
sky is clear,278.45
sky is clear,278.42
sky is clear,278.66
sky is clear,278.62
sky is clear,278.82
sky is clear,279.11
sky is clear,279.74
sky is clear,280.31
light intensity shower rain,280.6
broken clouds,280.37
sky is clear,280.11
sky is clear,279.8
sky is clear,279.99
broken clouds,279.67
sky is clear,280.15
sky is clear,280.09
sky is clear,280.02
sky is clear,279.75
sky is clear,279.33
sky is clear,279.44
sky is clear,279.2
light intensity shower rain,279.22
sky is clear,279.28
overcast clouds,279.175
sky is clear,279.07
sky is clear,279.19
light intensity shower rain,279.61
sky is clear,279.92
sky is clear,279.65
sky is clear,279.72
sky is clear,279.88
sky is clear,280.26
light intensity shower rain,280.17
sky is clear,280.1
sky is clear,280.17
overcast clouds,279.65
sky is clear,279.75
sky is clear,279.57
sky is clear,279.53
sky is clear,279.09
overcast clouds,278.76
sky is clear,278.5
sky is clear,278.46
sky is clear,278.46
sky is clear,278.68
sky is clear,278.32
sky is clear,278.21
sky is clear,277.7
sky is clear,277.66
sky is clear,278.24
sky is clear,278.95
sky is clear,280.61
sky is clear,281.51
sky is clear,282.04
sky is clear,282.3
sky is clear,282.92
sky is clear,282.61
sky is clear,282.15
sky is clear,280.83
sky is clear,280.41
sky is clear,280.26
sky is clear,280.2
sky is clear,280.13
sky is clear,280.14
light intensity shower rain,280.14
sky is clear,279.9
light intensity shower rain,279.88
sky is clear,279.89
sky is clear,279.88
sky is clear,279.77
sky is clear,279.62
sky is clear,279.54
sky is clear,279.54
light rain,279.53
sky is clear,279.37
sky is clear,279.83
light intensity shower rain,280.38
sky is clear,280.94
sky is clear,281.49
sky is clear,281.87
sky is clear,281.6
sky is clear,281.18
sky is clear,280.87
sky is clear,280.39
sky is clear,280.35
sky is clear,280.26
sky is clear,280.14
light intensity shower rain,279.88
sky is clear,279.94
sky is clear,280.03
sky is clear,279.88
sky is clear,279.88
sky is clear,279.8
sky is clear,279.88
sky is clear,279.83
sky is clear,279.57
sky is clear,279.53
mist,279.62
light rain,280.13
fog,280.36
light rain,281.35
overcast clouds,281.62
sky is clear,281.68
mist,281.55
mist,281.35
sky is clear,281.3
mist,281.3
sky is clear,281.16
sky is clear,281.52
light rain,281.59
mist,281.71
mist,281.59
light rain,281.59
overcast clouds,281.59
sky is clear,281.66
sky is clear,281.66
sky is clear,281.71
sky is clear,281.66
sky is clear,281.67
overcast clouds,281.61
sky is clear,281.59
mist,281.59
sky is clear,282.89
sky is clear,283.09
sky is clear,284.52
sky is clear,285.04
sky is clear,285.94
sky is clear,285.41
sky is clear,285.25
sky is clear,284.85
sky is clear,284.09
sky is clear,283.45
sky is clear,283.32
sky is clear,283.25
sky is clear,283.34
light rain,282.86
sky is clear,282.64
sky is clear,282.53
sky is clear,282.48
sky is clear,282.48
sky is clear,282.23
sky is clear,281.95
sky is clear,281.79
sky is clear,281.45
sky is clear,281.41
light intensity shower rain,281.36
sky is clear,281.8
sky is clear,282.19
mist,283.21
sky is clear,283.19
light intensity shower rain,284.19
broken clouds,284.69
sky is clear,284.9
sky is clear,284.93
sky is clear,284.73
sky is clear,284.28
sky is clear,284.64
sky is clear,284.84
sky is clear,284.49
light intensity shower rain,284.68
broken clouds,284.63
sky is clear,284.78
light intensity shower rain,284.55
sky is clear,284.6
sky is clear,284.42
sky is clear,284.26
sky is clear,284.12
sky is clear,284.08
sky is clear,284.04
overcast clouds,284.2
sky is clear,284.5
sky is clear,284.55
sky is clear,284.65
sky is clear,284.79
sky is clear,284.36
mist,284.23
sky is clear,284.14
mist,283.84
light intensity shower rain,284.13
sky is clear,284.12
sky is clear,284.12
sky is clear,284.06
sky is clear,284.05
light rain,284.05
sky is clear,284
sky is clear,283.89
sky is clear,283.68
sky is clear,283.63
sky is clear,283.64
sky is clear,283.43
sky is clear,283.29
light rain,283.29
mist,283.29
sky is clear,283.34
sky is clear,283.46
sky is clear,283.62
light rain,284.2
sky is clear,284.45
overcast clouds,284.64
sky is clear,284.67
sky is clear,284.8
sky is clear,284.49
mist,284.22
broken clouds,284.63
sky is clear,284.68
sky is clear,284.54
broken clouds,284.49
sky is clear,284.07
sky is clear,284.14
light intensity drizzle,284.2
sky is clear,284.15
sky is clear,283.89
sky is clear,284.02
sky is clear,284.09
sky is clear,283.97
light intensity shower rain,283.7
sky is clear,283.59
sky is clear,283.51
sky is clear,283.89
sky is clear,284.16
light intensity shower rain,284.33
overcast clouds,285.13
sky is clear,284.93
sky is clear,284.77
overcast clouds,284.66
sky is clear,284.46
light intensity shower rain,284.49
sky is clear,284.34
sky is clear,284.19
sky is clear,284.18
light intensity drizzle,284.18
light intensity shower rain,284.18
sky is clear,284.05
sky is clear,283.77
sky is clear,283.94
sky is clear,283.84
sky is clear,283.94
sky is clear,283.9
sky is clear,283.97
sky is clear,284.02
sky is clear,284.13
sky is clear,284.5
sky is clear,284.84
sky is clear,285.05
sky is clear,285.55
sky is clear,285.77
sky is clear,286.26
sky is clear,286.78
sky is clear,286.43
sky is clear,285.98
sky is clear,285.77
light intensity shower rain,285.23
light intensity shower rain,284.69
sky is clear,284.26
sky is clear,284.26
light intensity shower rain,284.57
sky is clear,284.57
sky is clear,284.38
light intensity shower rain,284.05
overcast clouds,283.95
sky is clear,283.85
sky is clear,283.94
sky is clear,283.94
sky is clear,283.78
sky is clear,283.88
sky is clear,284.48
sky is clear,284.45
sky is clear,284.14
sky is clear,284.19
mist,284.19
sky is clear,284.19
mist,284.57
sky is clear,284.15
sky is clear,284.37
sky is clear,284.28
sky is clear,284.15
sky is clear,284.43
sky is clear,284.11
sky is clear,283.97
mist,283.77
light intensity shower rain,283.82
sky is clear,283.75
sky is clear,283.6
sky is clear,283.7
overcast clouds,283.8
mist,283.75
sky is clear,283.81
sky is clear,283.75
sky is clear,283.75
overcast clouds,283.63
sky is clear,284.28
mist,284.55
overcast clouds,284.72
sky is clear,285.12
overcast clouds,285.61
sky is clear,286.1
sky is clear,286.1
sky is clear,286.1
sky is clear,286.1
sky is clear,286.1
sky is clear,286.1
sky is clear,286.1
sky is clear,286.1
sky is clear,286.1
sky is clear,286.09
sky is clear,286.09
sky is clear,286.09
sky is clear,286.09
sky is clear,286.09
sky is clear,286.09
sky is clear,283.14
sky is clear,283.14
sky is clear,283.14
sky is clear,283.14
overcast clouds,283.3066667
overcast clouds,283.4733333
sky is clear,283.64
sky is clear,284.12
sky is clear,284.21
sky is clear,284.78
sky is clear,284.76
sky is clear,284.05
sky is clear,283.25
sky is clear,283.02
sky is clear,282.96
sky is clear,282.69
overcast clouds,282.21
sky is clear,281.83
sky is clear,281.43
sky is clear,281.56
sky is clear,281.67
sky is clear,281.77
sky is clear,281.67
light intensity shower rain,281.68
sky is clear,281.78
sky is clear,281.72
sky is clear,281.77
sky is clear,281.83
sky is clear,282.01
sky is clear,281.88
sky is clear,281.2
sky is clear,281.31
overcast clouds,281.51
sky is clear,281.82
sky is clear,281.86
sky is clear,282.17
sky is clear,282.39
sky is clear,282.33
sky is clear,282.92
sky is clear,282.95
sky is clear,282.98
light rain,283.22
broken clouds,282.95
sky is clear,282.53
sky is clear,282.02
sky is clear,281.07
sky is clear,280.67
sky is clear,280.23
sky is clear,279.99
sky is clear,279.49
sky is clear,279.47
sky is clear,279.46
sky is clear,280.79
sky is clear,281.66
sky is clear,282.8
sky is clear,282.97
sky is clear,282.91
sky is clear,282.97
sky is clear,282.67
sky is clear,281.52
sky is clear,280.86
sky is clear,280.12
sky is clear,280.06
sky is clear,279.54
sky is clear,279.03
sky is clear,278.92
sky is clear,278.58
sky is clear,278.05
sky is clear,277.58
sky is clear,277.14
sky is clear,276.61
sky is clear,276.73
sky is clear,276.94
sky is clear,276.94
sky is clear,276.96
sky is clear,277.11
sky is clear,277.83
sky is clear,279.42
sky is clear,281.02
sky is clear,281.46
sky is clear,281.83
sky is clear,281.92
sky is clear,282.4
sky is clear,281.9
sky is clear,280.59
sky is clear,279.91
sky is clear,279.07
sky is clear,278.74
sky is clear,278.58
sky is clear,278.01
sky is clear,277.24
sky is clear,277.31
sky is clear,277.11
sky is clear,276.49
sky is clear,275.6
sky is clear,275.29
sky is clear,275
sky is clear,275.19
sky is clear,274.99
sky is clear,275.37
sky is clear,276.31
sky is clear,277.97
sky is clear,279.05
sky is clear,280.16
sky is clear,280.36
sky is clear,280.87
sky is clear,280.47
sky is clear,279.68
sky is clear,278.62
sky is clear,277.64
sky is clear,277.97
sky is clear,277.75
sky is clear,277.52
sky is clear,277.14
sky is clear,277.11
sky is clear,276.91
sky is clear,276.15
sky is clear,275.99
sky is clear,275.86
sky is clear,275.7
sky is clear,275.65
sky is clear,275.27
sky is clear,274.57
sky is clear,274.53
sky is clear,275.35
sky is clear,276.19
sky is clear,278.04
sky is clear,278.23
sky is clear,278.8
sky is clear,278.49
sky is clear,278.7
sky is clear,277.81
sky is clear,276.02
sky is clear,274.94
sky is clear,274.02
sky is clear,276.38
sky is clear,278.74
sky is clear,278.74
sky is clear,278.18
sky is clear,278.18
sky is clear,278.18
sky is clear,278.18
sky is clear,278.18
sky is clear,278.18
sky is clear,277.95
sky is clear,277.95
sky is clear,277.95
sky is clear,275.21
sky is clear,275.7
sky is clear,276.26
light rain,277.08
sky is clear,277.55
sky is clear,277.27
sky is clear,277
sky is clear,276.75
sky is clear,276.9
sky is clear,276.98
sky is clear,277.02
sky is clear,277.15
sky is clear,277.21
sky is clear,277.15
light rain,277.43
sky is clear,277.38
sky is clear,277.44
sky is clear,277.55
sky is clear,277.6
sky is clear,277.86
sky is clear,277.82
sky is clear,277.75
sky is clear,277.86
sky is clear,278.06
sky is clear,278.16
sky is clear,277.82
mist,277.99
sky is clear,279.42
sky is clear,279.5
sky is clear,279.97
sky is clear,280.3
sky is clear,280.38
sky is clear,279.79
sky is clear,279.71
sky is clear,279.59
sky is clear,280.01
overcast clouds,280.1
light intensity shower rain,280.05
sky is clear,280.12
sky is clear,280.22
sky is clear,280.02
sky is clear,280.08
light rain,279.97
light rain,280.13
light rain,280.29
light rain,280.29
light rain,280.29
light rain,280.34
light rain,280.34
light rain,280.56
light rain,280.88
overcast clouds,280.75
light rain,281.05
light rain,281.35
overcast clouds,281.08
overcast clouds,281.44
light rain,281.07
light rain,281.04
overcast clouds,280.71
light rain,281.04
light rain,281.09
light rain,280.89
light rain,280.89
light rain,280.66
light rain,280.78
light rain,280.57
light rain,280.53
light rain,280.32
light rain,280.52
mist,280.48
sky is clear,280.53
broken clouds,280.47
mist,280.5
sky is clear,280.6
sky is clear,280.8
mist,281.82
few clouds,281.29
few clouds,281.65
overcast clouds,282.15
few clouds,282.02
few clouds,280.77
few clouds,280.31
few clouds,279.57
few clouds,278.92
few clouds,280.665
few clouds,282.41
few clouds,282.41
broken clouds,279.95
broken clouds,279.95
broken clouds,279.95
broken clouds,279.95
broken clouds,279.95
broken clouds,279.95
overcast clouds,279.06
overcast clouds,279.06
overcast clouds,279.06
overcast clouds,279.06
overcast clouds,279.06
overcast clouds,279.06
overcast clouds,279.06
few clouds,281.49
few clouds,281.49
few clouds,281.49
few clouds,281.49
few clouds,281.49
few clouds,281.49
few clouds,281.49
few clouds,281.49
few clouds,281.49
few clouds,281.49
few clouds,281.49
scattered clouds,280.35
scattered clouds,280.35
scattered clouds,280.35
scattered clouds,280.35
scattered clouds,277.59
scattered clouds,278
scattered clouds,277.98
scattered clouds,278.05
scattered clouds,278.47
scattered clouds,277.88
proximity shower rain,278.41
scattered clouds,278.82
proximity shower rain,279.34
proximity shower rain,279.88
broken clouds,280.46
light intensity shower rain,280.63
light intensity shower rain,281.01
broken clouds,280.82
light intensity shower rain,280.63
broken clouds,280.97
broken clouds,281.62
broken clouds,281.21
light intensity shower rain,280.95
light intensity shower rain,281.02
light rain,280.51
light rain,281.63
light rain,282
broken clouds,281.99
broken clouds,282.47
broken clouds,282.78
light intensity shower rain,282.84
light intensity shower rain,283.5
light intensity shower rain,282.59
light rain,282.37
overcast clouds,283.28
light rain,283.14
mist,282.06
mist,281.17
mist,281.43
light rain,280.83
light rain,280.54
fog,280.13
fog,279.99
moderate rain,279.79
moderate rain,279.96
moderate rain,279.69
light rain,279.97
moderate rain,279.99
light rain,279.77
light rain,280.14
light rain,280.11
light rain,279.73
light rain,279.54
light rain,279.47
light rain,279.7
light rain,279.92
mist,279.61
fog,279.98
fog,279.98
fog,280.25
light intensity shower rain,280.63
proximity shower rain,280.97
light rain,281.17
light rain,281.11
light rain,280.93
light rain,280.53
light rain,280.43
light rain,280.33
light rain,280.44
light rain,280.88
light intensity shower rain,281.4
light intensity shower rain,281.66
light rain,281.85
light rain,282.43
light intensity shower rain,282.43
light intensity shower rain,282.2
light rain,281.97
light rain,282.15
light intensity shower rain,281.84
light intensity shower rain,281.55
proximity shower rain,281.06
light intensity shower rain,281.35
moderate rain,281.53
mist,280.6
fog,280.55
light rain,280.41
light rain,280.56
light rain,280.8
light rain,280.56
light rain,280.26
light rain,280.27
light rain,280.41
light rain,280.64
light rain,280.89
light rain,280.07
light rain,279.79
light rain,279.61
light rain,279.6
light rain,279.74
light rain,280.11
light rain,280.12
light rain,280.4
sky is clear,280.07
sky is clear,280.01
sky is clear,279.64
sky is clear,280.16
sky is clear,280.78
sky is clear,281.31
light rain,281.6
light intensity shower rain,281.59
light rain,281.31
light rain,281.69
light rain,281.81
light rain,281.71
proximity shower rain,280.8
light intensity shower rain,280.7
moderate rain,279.71
light intensity shower rain,279.52
light rain,279.77
light rain,279.42
light intensity shower rain,279.06
light intensity shower rain,278.93
moderate rain,278.91
light intensity shower rain,278.71
light intensity shower rain,278.59
light rain,278.18
light rain,278.06
light rain,277.81
light rain,277.66
light intensity shower rain,277.28
heavy intensity rain,277.62
heavy intensity rain,278.18
light rain,279
broken clouds,278.63
light rain,278.88
light rain,278.82
light rain,279
light rain,279.56
light rain,278.44
light rain,278.22
light rain,277.78
light rain,277.53
light rain,277.18
light rain,277.15
sky is clear,277.3
sky is clear,277.41
sky is clear,277.43
sky is clear,277.17
sky is clear,277.15
sky is clear,277.51
sky is clear,277.8
light intensity drizzle,277.88
light intensity drizzle,277.66
sky is clear,277.83
sky is clear,278.38
proximity shower rain,278.87
heavy snow,279.59
heavy snow,279.65
mist,279.74
light intensity shower rain,279.54
light rain,279.65
light rain,280.71
light rain,280.71
light rain,280.71
light rain,280.71
light rain,280.71
light rain,280.71
light rain,280.71
moderate rain,279.89
moderate rain,279.89
moderate rain,279.89
moderate rain,279.89
moderate rain,279.89
light rain,279.7
light rain,279.83
light rain,279.77
light rain,279.56
light intensity shower rain,279.66
shower rain,279.69
mist,279.79
light rain,280.01
mist,280.49
overcast clouds,280.88
light rain,280.98
light intensity shower rain,280.84
mist,280.79
mist,280.59
light intensity shower rain,280.27
broken clouds,280.18
broken clouds,280.09
scattered clouds,280
few clouds,279.91
mist,279.82
mist,279.58
light intensity shower rain,279.36
light intensity shower rain,279.36
light intensity shower rain,279.19
fog,278.53
fog,278.38
mist,278.33
fog,278.1
mist,277.84
mist,278.79
mist,279.37
sky is clear,280.63
mist,280.35
sky is clear,281.98
mist,280.56
mist,280.58
mist,278.88
mist,277.89
sky is clear,277.65
sky is clear,277.33
sky is clear,277.68
sky is clear,277.4
sky is clear,277.69
sky is clear,277.23
sky is clear,277.08
sky is clear,277.25
sky is clear,277.46
sky is clear,277.88
sky is clear,277.81
sky is clear,277.87
sky is clear,277.74
sky is clear,277.26
fog,276.95
mist,277.49
sky is clear,277.88
scattered clouds,279.06
scattered clouds,279.52
scattered clouds,279.98
scattered clouds,279.37
scattered clouds,279.37
scattered clouds,277.94
few clouds,277.33
scattered clouds,277.01
scattered clouds,276.67
few clouds,276.38
scattered clouds,275.87
scattered clouds,275.51
overcast clouds,275.1
overcast clouds,274.88
overcast clouds,274.56
overcast clouds,274.25
overcast clouds,273.96
fog,273.92
overcast clouds,274.05
overcast clouds,274.05
overcast clouds,273.64
overcast clouds,273.71
overcast clouds,274.43
overcast clouds,275.41
overcast clouds,276.85
overcast clouds,277.63
overcast clouds,278
overcast clouds,278.3
overcast clouds,278.42
overcast clouds,277.22
overcast clouds,276.57
overcast clouds,276.37
overcast clouds,276.28
overcast clouds,276
overcast clouds,276.03
overcast clouds,275.84
overcast clouds,275.55
overcast clouds,275.03
overcast clouds,275.2
overcast clouds,275.26
overcast clouds,274.82
overcast clouds,275.02
overcast clouds,274.82
overcast clouds,274.94
overcast clouds,275.62
overcast clouds,275.74
overcast clouds,276.56
overcast clouds,277.77
overcast clouds,278.39
overcast clouds,279.3
overcast clouds,279.38
overcast clouds,279.22
overcast clouds,279.3
overcast clouds,278.4
overcast clouds,277.71
overcast clouds,277.13
overcast clouds,277.03
overcast clouds,277.11
overcast clouds,276.84
overcast clouds,277.2
overcast clouds,277.45
overcast clouds,277.57
overcast clouds,277.2
overcast clouds,277.28
